cycle     valid           data_out_1        data_out_2  
0         0                     ----              ----  
1         0                     ----              ----  
2         1         0000000000010010  0000001111100111  
3         1         0001001101100001  1100011011001111  
4         1         0011101100000000  0000001010000000  
5         0                     ----              ----  
6         0                     ----              ----  
7         0                     ----              ----  
8         1         1100001101111010  0011001111110010  
9         1         0001011011110100  0000001010100110  
10        1         0000101110110001  1111111101011100  
11        1         0000101001010110  0001011010010010  
12        1         1100110101001110  0010011011100010  
13        1         1111100001101110  1111100100101001  
14        1         1111110001101000  1110010010011001  
15        1         0000111100011111  0001111101111010  
16        0                     ----              ----  
17        1         1111111110000101  0001010000000101  
18        1         1111111100100010  1110100101110100  
19        0                     ----              ----  
20        0                     ----              ----  
21        0                     ----              ----  
22        1         0000000000110110  1111111110010100  
23        1         0000011011010110  1111100101100010  
24        1         0000000111110010  0000000011011000  
25        1         1111111110010111  0000000110000001  
26        0                     ----              ----  
27        0                     ----              ----  
28        1         1101110000100100  1101010111000100  
29        1         1101111010011010  0000000100101100  
30        1         1100101101110100  1100111100000100  
31        1         0000010000010100  1111110001110011  
32        1         0001000111001100  1110000100110000  
33        1         0011001100001100  0000001111001000  
34        1         1110101011001100  1101101101011000  
35        0                     ----              ----  
36        1         0001001100001000  1111111010100100  
37        1         0011010010010110  1110001100111010  
38        1         1111111110001000  0000010010010010  
39        1         0000100100000110  0001001110110000  
40        1         1101110001000010  0011101010011110  
41        1         1111110000101000  1100110110001101  
42        1         0001111000000000  1101000000110000  
43        1         0000110111000000  0000101001010000  
44        0                     ----              ----  
45        1         1111101011111100  0010111100111011  
46        1         0001011001101100  1101111100000010  
47        1         1101110110100000  1101010101110110  
48        0                     ----              ----  
49        1         0001100100100011  1101001110000111  
50        0                     ----              ----  
51        0                     ----              ----  
52        1         1111111111000110  0000000001110100  
53        1         0000100010011101  1101001101001011  
54        1         1111110000011001  0000000010101011  
55        1         0000000100111011  1111111110100110  
56        0                     ----              ----  
57        1         0000000001101010  1111110100011010  
58        1         0000010110000000  0000000111100000  
59        1         1100101010111000  1110100110111000  
60        1         1111111110100000  0010011111000000  
61        1         0011000011100111  1111110100010011  
62        1         1111111011111000  1111111111011000  
63        0                     ----              ----  
64        1         0000000101001100  0000000111101000  
65        1         1110011011011000  1111111010110000  
66        1         1111111111011100  0000000001100110  
67        1         0000001010101100  0000001011011100  
68        1         0000110010011000  0000110110101111  
69        1         1111110010010101  1111110100101111  
70        1         1101011101110000  0001100001101000  
71        1         1110101001111100  0000011011110110  
72        1         1111111010100001  1111111110100101  
73        1         1111001001010010  0000001001101010  
74        0                     ----              ----  
75        1         0001001110110000  0001001010100010  
76        1         1111000010011101  0000000011000011  
77        1         1110001001110100  0001101100100000  
78        0                     ----              ----  
79        0                     ----              ----  
80        1         0000000001001011  1111111101101010  
81        1         1111111100000100  0000000000010010  
82        0                     ----              ----  
83        0                     ----              ----  
84        1         1111111110101100  1101101101000000  
85        0                     ----              ----  
86        1         1111110111111000  0000000111111001  
87        1         1100110000001110  0011000110010000  
88        0                     ----              ----  
89        1         1101010011000101  0011001100100010  
90        1         1111110111111000  1111111111010000  
91        1         0000001001100010  1111111111110001  
92        1         1111101101101110  1101000001111000  
93        0                     ----              ----  
94        1         0001101111000011  1101110111001101  
95        1         1111110101011000  1111000110000110  
96        0                     ----              ----  
97        1         1111111000101100  0000000100001100  
98        0                     ----              ----  
99        1         0000000000000111  0000000001100100  
100       0                     ----              ----  
101       1         1100101100000000  0010101010100110  
102       1         0001100011110010  1110101010110000  
103       0                     ----              ----  
104       1         0001000011111010  0000000011001101  
105       0                     ----              ----  
106       1         0001000010100000  1110011111110000  
107       1         1100101101110000  1100111000101000  
108       0                     ----              ----  
109       1         0011011100101101  0000011111110010  
110       1         0000000001000001  1111111110000001  
111       1         1111011010100000  1111110110100000  
112       0                     ----              ----  
113       1         1101010111010101  1100001111111001  
114       0                     ----              ----  
115       1         1110111011000000  1110110000111100  
116       1         0011000111001110  0001011110000010  
117       1         0000001001100000  1111110110100000  
118       0                     ----              ----  
119       1         1111111110111011  0000000000000110  
120       1         1111110010011010  1111111111100010  
121       1         1111111110100110  0000010011011000  
122       1         0000000111110100  0000000110100100  
123       0                     ----              ----  
